Year;Unit;Country;Month;value
2015;sqm;Turkey;01;292
2015;sqm;Indonesia;01;0
2015;sqm;Philippines;01;0
2015;sqm;Hungary;01;0
2015;sqm;Ecuador;01;0
2015;sqm;Israel;01;134655
2015;sqm;Mauritius;01;0
2015;sqm;Austria;01;0
2015;sqm;India;01;13806
2015;sqm;Taiwan;01;0
2015;sqm;South Korea;01;7649
2015;sqm;Portugal;01;5433
2016;sqm;Australia;01;0
2016;sqm;Brazil;01;1212
2016;sqm;Cameroon;01;0
2016;sqm;Canada;01;49470
2016;sqm;China;01;218118
2016;sqm;Colombia;01;0
2016;sqm;Czechia;01;5053
2016;sqm;France;01;0
2016;sqm;Germany;01;6589
2016;sqm;Hong Kong;01;153
2016;sqm;Hungary;01;0
2016;sqm;India;01;44862
2016;sqm;Israel;01;81353
2016;sqm;Italy;01;18146
2016;sqm;Jamaica;01;0
2016;sqm;Lebanon;01;0
2016;sqm;Mauritania;01;0
2016;sqm;Mauritius;01;0
2016;sqm;Mexico;01;714
2016;sqm;Netherlands;01;0
2016;sqm;Oman;01;0
2016;sqm;Philippines;01;0
2016;sqm;Portugal;01;6211
2016;sqm;Romania;01;30
2016;sqm;Saudi Arabia;01;0
2016;sqm;Singapore;01;878
2016;sqm;South Korea;01;6627
2016;sqm;Spain;01;84334
2016;sqm;Switzerland;01;0
2016;sqm;Taiwan;01;0
2016;sqm;Thailand;01;0
2016;sqm;Turkey;01;11742
2016;sqm;United Kingdom;01;0
2016;sqm;Uruguay;01;0
2016;sqm;Vietnam;01;46841
2017;sqm;Romania;01;0
2017;sqm;Switzerland;01;1123
2017;sqm;Uruguay;01;0
2017;sqm;Czechia;01;1557
2017;sqm;Germany;01;2106
2017;sqm;Brazil;01;2988
2017;sqm;Serbia;01;0
2017;sqm;Mexico;01;32
2017;sqm;France;01;0
2017;sqm;Belgium;01;0
2017;sqm;United Kingdom;01;7
2017;sqm;Hong Kong;01;2061
2017;sqm;St Vinc & Gren;01;0
2017;sqm;China;01;406616
2017;sqm;Italy;01;14696
2017;sqm;Cameroon;01;0
2017;sqm;Canada;01;48544
2017;sqm;United Arab Em;01;0
2017;sqm;Spain;01;115392
2017;sqm;Vietnam;01;53904
2017;sqm;Lithuania;01;180
2017;sqm;Turkey;01;10410
2017;sqm;Ecuador;01;0
2017;sqm;Thailand;01;0
2017;sqm;Croatia;01;0
2017;sqm;Australia;01;0
2017;sqm;Israel;01;79369
2017;sqm;India;01;21131
2017;sqm;Taiwan;01;0
2017;sqm;Bahamas;01;0
2017;sqm;South Korea;01;3597
2017;sqm;Portugal;01;5136
2018;sqm;Albania;01;0
2018;sqm;Australia;01;0
2018;sqm;Belgium;01;414
2018;sqm;Brazil;01;4552
2018;sqm;Cabo Verde;01;0
2018;sqm;Cameroon;01;0
2018;sqm;Canada;01;46605
2018;sqm;China;01;666451
2018;sqm;Colombia;01;0
2018;sqm;Czechia;01;1963
2018;sqm;France;01;0
2018;sqm;Germany;01;4040
2018;sqm;Hong Kong;01;6324
2018;sqm;Hungary;01;0
2018;sqm;India;01;44495
2018;sqm;Indonesia;01;0
2018;sqm;Israel;01;92247
2018;sqm;Italy;01;12813
